# Volume injected (mL),pressure (bar)
2.097685623416666534e+00,1.752787582000000288e+00
2.097652290083333426e+00,1.752787582000000288e+00
2.097618956749999874e+00,1.752787582000000288e+00
2.097585623416666767e+00,1.752787582000000288e+00
2.097552290083332771e+00,1.752787582000000288e+00
2.097518956749999663e+00,1.752787582000000288e+00
2.097485623416666556e+00,1.750305466000000143e+00
2.097452290083333004e+00,1.752787582000000288e+00
2.097418956749999897e+00,1.750305466000000143e+00
2.097385623416666789e+00,1.758992872000000096e+00
2.097352290083333237e+00,1.752787582000000288e+00
2.097318956750000130e+00,1.752787582000000288e+00
2.097285623416666134e+00,1.752787582000000288e+00
2.097252290083333026e+00,1.750305466000000143e+00
2.097218956749999919e+00,1.750305466000000143e+00
2.097185623416666367e+00,1.752787582000000288e+00
2.097152290083333259e+00,1.752787582000000288e+00
2.097118956750000152e+00,1.752787582000000288e+00
2.097085623416666600e+00,1.752787582000000288e+00
2.097052290083333048e+00,1.752787582000000288e+00
2.097018956749999496e+00,1.752787582000000288e+00
2.096985623416666389e+00,1.742031746000000325e+00
2.096952290083333281e+00,1.752787582000000288e+00
2.096918956749999730e+00,1.750305466000000143e+00
2.096885623416666622e+00,1.752787582000000288e+00
2.096852290083333514e+00,1.752787582000000288e+00
2.096818956749999963e+00,1.752787582000000288e+00
2.096785623416666411e+00,1.752787582000000288e+00
2.096752290083332859e+00,1.746168606000000345e+00
2.096718956749999752e+00,1.752787582000000288e+00
2.096685623416666644e+00,1.752787582000000288e+00
2.096652290083333092e+00,1.748237036000000133e+00
2.096618956749999985e+00,1.752787582000000288e+00
2.096585623416666877e+00,1.752787582000000288e+00
2.096552290083333325e+00,1.752787582000000288e+00
2.096518956749999774e+00,1.752787582000000288e+00
2.096485623416666222e+00,1.752787582000000288e+00
2.096452290083333114e+00,1.750305466000000143e+00
2.096418956750000007e+00,1.752787582000000288e+00
2.096385623416666455e+00,1.754856012000000298e+00
2.096352290083333347e+00,1.752787582000000288e+00
2.096318956750000240e+00,1.748237036000000133e+00
2.096285623416666244e+00,1.752787582000000288e+00
2.096252290083333136e+00,1.752787582000000288e+00
2.096218956749999585e+00,1.752787582000000288e+00
2.096185623416666477e+00,1.752787582000000288e+00
2.096152290083333369e+00,1.752787582000000288e+00
2.096118956749999818e+00,1.746168606000000345e+00
2.096085623416666710e+00,1.752787582000000288e+00
2.096052290083333602e+00,1.750305466000000143e+00
2.096018956749999607e+00,1.750305466000000143e+00
2.095985623416666499e+00,1.752787582000000288e+00
2.095952290083332947e+00,1.750305466000000143e+00
2.095918956749999840e+00,1.752787582000000288e+00
2.095885623416666732e+00,1.752787582000000288e+00
2.095852290083333180e+00,1.752787582000000288e+00
2.095818956750000073e+00,1.752787582000000288e+00
2.095785623416666077e+00,1.746168606000000345e+00
2.095752290083332969e+00,1.752787582000000288e+00
2.095718956749999862e+00,1.750305466000000143e+00
2.095685623416666310e+00,1.746168606000000345e+00
2.095652290083333202e+00,1.748237036000000133e+00
2.095618956750000095e+00,1.750305466000000143e+00
2.095585623416666543e+00,1.750305466000000143e+00
2.095552290083333435e+00,1.746168606000000345e+00
2.095518956749999440e+00,1.750305466000000143e+00
2.095485623416666332e+00,1.750305466000000143e+00
2.095452290083333224e+00,1.752787582000000288e+00
2.095418956749999673e+00,1.752787582000000288e+00
2.095385623416666565e+00,1.752787582000000288e+00
2.095352290083333457e+00,1.750305466000000143e+00
2.095318956749999906e+00,1.748237036000000133e+00
2.095285623416666798e+00,1.748237036000000133e+00
2.095252290083332802e+00,1.750305466000000143e+00
2.095218956749999695e+00,1.744100176000000335e+00
2.095185623416666587e+00,1.750305466000000143e+00
2.095152290083333035e+00,1.744100176000000335e+00
