# Volume (mL), Pressure (Bar)
1.602766033319761085e+00,2.355114397999999998e+00
1.599955015023387661e+00,2.363388118000000482e+00
1.599921681690054553e+00,2.363388118000000482e+00
1.602666033319761318e+00,2.355114397999999998e+00
1.602632699986428211e+00,2.355114397999999998e+00
1.601210288323860809e+00,2.359251258000000462e+00
1.602566033319761551e+00,2.355114397999999998e+00
1.602532699986428444e+00,2.355114397999999998e+00
1.602499366653094448e+00,2.355114397999999998e+00
1.601076954990527046e+00,2.359251258000000462e+00
1.601043621657193938e+00,2.359251258000000462e+00
1.601010288323860387e+00,2.359251258000000462e+00
1.602366033319761573e+00,2.355114397999999998e+00
1.600249259408502933e+00,2.361319688000000472e+00
1.602299366653094914e+00,2.355114397999999998e+00
1.602266033319761362e+00,2.355114397999999998e+00
1.599455015023387494e+00,2.363388118000000482e+00
1.600810288323860409e+00,2.359251258000000462e+00
1.601471435163062562e+00,2.357182828000000452e+00
1.602132699986428044e+00,2.355114397999999998e+00
1.602099366653094936e+00,2.355114397999999998e+00
1.602066033319761829e+00,2.355114397999999998e+00
1.599949259408502744e+00,2.361319688000000472e+00
1.601999366653094725e+00,2.355114397999999998e+00
1.599882592741835641e+00,2.361319688000000472e+00
1.601932699986428066e+00,2.355114397999999998e+00
1.601899366653094958e+00,2.355114397999999998e+00
1.599782592741835874e+00,2.361319688000000472e+00
1.601832699986428299e+00,2.355114397999999998e+00
1.601799366653095191e+00,2.355114397999999998e+00
1.601071435163062606e+00,2.357182828000000452e+00
1.601038101829729055e+00,2.357182828000000452e+00
1.600310288323860242e+00,2.359251258000000462e+00
1.599582592741835896e+00,2.361319688000000472e+00
1.601632699986428321e+00,2.355114397999999998e+00
1.599515926075169236e+00,2.361319688000000472e+00
1.600176954990527367e+00,2.359251258000000462e+00
1.600838101829729521e+00,2.357182828000000452e+00
1.601499366653094558e+00,2.355114397999999998e+00
1.601466033319761451e+00,2.355114397999999998e+00
1.601432699986427899e+00,2.355114397999999998e+00
1.598621681690054475e+00,2.363388118000000482e+00
1.599976954990527389e+00,2.359251258000000462e+00
1.599943621657193837e+00,2.359251258000000462e+00
1.599215926075169492e+00,2.361319688000000472e+00
1.599182592741836384e+00,2.361319688000000472e+00
1.601232699986427921e+00,2.355114397999999998e+00
1.599115926075169281e+00,2.361319688000000472e+00
1.599082592741835729e+00,2.361319688000000472e+00
1.601827416187660225e+00,2.353045967999999988e+00
